Material,0,1,2
1608,1.5682850174921121,3.584220933708753,3.0273478446131055
1670,7.035045756451838,10.072664805774114,9.54366336682571
1680,14.456365018365483,11.492335595814442,9.751688675718981
2179,64.4921246918302,49.073843464123485,43.90080178701032
2519,1.5682850174921121,3.584220933708753,3.0273478446131055
2655,1.5682850174921121,3.584220933708753,3.0273478446131055
2687,2.5875419101159163,4.1331959716515705,3.4697771338450307
2977,1851.3401773789917,1420.9723852303212,1298.2647088403407
3001,1.5682850174921121,3.584220933708753,3.0273478446131055
3529,29.17217638062851,24.57327011607548,22.16608744565827
3620,265.9409412918599,197.5256954997431,178.05070380567744
4130,43.357817615068086,26.092197489364253,21.166948703122046
5399,34.4874599402101,27.75828337472019,24.849963678592154
5640,134.05345917712995,104.90431551796705,95.5654398301308
5650,135.43497567298982,104.68185138706077,95.03510904827188
5864,256.1781538859424,188.40121340697584,169.29294133976288
6069,15.83788151422537,11.269871464908192,9.22135789386006
6169,82.34144532165371,65.4534184049233,59.558708069284755
6179,30.11569468356325,23.470529847307972,20.69229709025084
6189,19.914909084720588,13.465771616679461,10.991075050787762
6199,1.5682850174921121,3.584220933708753,3.0273478446131055
6293,24.42993484814095,16.541947906311986,13.704251781263977
6443,19.12286796116398,17.87194249886761,16.29730469547392
6843,28.22044140508915,21.161002533642645,18.362948653921883
7257,1.5682850174921121,3.584220933708753,3.0273478446131055
7277,1.5682850174921121,3.584220933708753,3.0273478446131055
7373,25.66819083722733,17.53106101318543,14.61841085727016
7734,23.05663502488569,21.279419888418577,19.511511710266717
7744,31.49721117942314,23.248065716401722,20.161966308391918
7930,61.70444168229656,35.973748172334965,29.130675909296706
7960,614.0934399763855,466.8766008977111,424.84727565590134
8483,24.732889206897216,23.14880913315328,21.36913035982142
8560,1.5682850174921121,3.584220933708753,3.0273478446131055
8692,1.5682850174921121,3.584220933708753,3.0273478446131055
8886,16.065097283292566,16.225017385039163,14.97001682777814
8900,166.47533066244299,135.5764022168076,125.08223474020963
8950,30.91595247972448,23.579366816320164,20.66299659270851
9170,536.4537889397843,408.30604384703537,371.5594229435648
9333,24.219152424283003,20.6168176885817,18.50945114163354
